id,name,Geburtsdatum,gnd
wr-person-0274,"Gorkij, Maxim",,https://d-nb.info/gnd/118639293
wr-person-0256,"Gosse, Edmund",1849,https://d-nb.info/gnd/118696610
wr-person-0203,"Gourmont, Remy de",1858-04-04,https://d-nb.info/gnd/118718320
wr-person-0261,"Graevell, Paul",1856,https://d-nb.info/gnd/116814071
wr-person-0166,"Graf, Dr. Max",,https://d-nb.info/gnd/118697005
wr-person-0260,"Graf, Max",,https://d-nb.info/gnd/118697005
wr-person-0200,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959
wr-person-0223,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959
wr-person-0262,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959
wr-person-0299,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959
wr-person-0102,"Gregh, Fernand",1873,https://d-nb.info/gnd/118718649
wr-person-0101,"Grossmann, Stefan",,https://d-nb.info/gnd/118542664
wr-person-0249,"Groux, Henri de",1867,https://d-nb.info/gnd/128811919
wr-person-0038,"Guglia, Eugen",1857-08-24,https://d-nb.info/gnd/116920475
wr-person-0151,"Gumplowicz, Dr. Ladislas",,
wr-person-0314,"Gumppenberg, E. Freiin von",,
wr-person-0254,"Gundolf, Friedrich",1880-06-20,https://d-nb.info/gnd/118543628
wr-person-0221,"Haberfeld, Hugo",,https://d-nb.info/gnd/116349433
wr-person-0215,"Haberlandt, Mich.",,https://d-nb.info/gnd/116350725
wr-person-0186,"Hallström, Per",1866-09-29,https://d-nb.info/gnd/116412925
wr-person-0147,"Hamsun, Knut",1859-08-04,https://d-nb.info/gnd/118545515
wr-person-0023,"Hango, Hermann",1861-05-16,https://d-nb.info/gnd/11645332X
wr-person-0288,"Hardt, Ernst",,https://d-nb.info/gnd/11870155X
wr-person-0183,"Hartmann, Franz",,https://d-nb.info/gnd/118546287
wr-person-0199,"Hartstein, B. v.",,
wr-person-0205,"Hartwig, Th.",,https://d-nb.info/gnd/127473998
wr-person-0143,"Hartwig, Theodor J.",,https://d-nb.info/gnd/127473998
wr-person-0306,"Heiberg, Gunnar",,https://d-nb.info/gnd/119361388
wr-person-0191,"Heidenstam, Verner von",1859-07-06,https://d-nb.info/gnd/119112280
wr-person-0180,"Heimann, Moritz",1868-07-19,https://d-nb.info/gnd/118773666
wr-person-0247,"Heine, Carl",,
wr-person-0258,"Hellmer, Edm.",,
wr-person-0136,"Hello, Ernest",1828-11-04,https://d-nb.info/gnd/119205823
wr-person-0117,"Henckel, W.",,https://d-nb.info/gnd/120598507
wr-person-0154,"Henckell, Karl",1864-04-17,https://d-nb.info/gnd/118835289
wr-person-0085,"Herzfeld, Marie",1855-03-20,https://d-nb.info/gnd/119543559
wr-person-0022,"Hirschfeld, Georg",,https://d-nb.info/gnd/101708122
wr-person-0128,"Hoffmann, Nina",,https://d-nb.info/gnd/1011894475
wr-person-0003,"Hofmannsthal, Hugo von",1874-02-01,https://d-nb.info/gnd/118552759
wr-person-0141,"Hofmannsthal, Hugo von",1874-02-01,https://d-nb.info/gnd/118552759
wr-person-0126,"Holitscher, Arthur",1869-08-22,https://d-nb.info/gnd/118973096
wr-person-0160,"Huch, Ricarda",1864-07-18,https://d-nb.info/gnd/118554190
wr-person-0234,"Huch, Ricarda",1864-07-18,https://d-nb.info/gnd/118554190
wr-person-0169,"Ibsen, Dr. Sigurd",,https://d-nb.info/gnd/117091383
wr-person-0059,"Jacobsen, R.",,
wr-person-0222,"Jacobsen, Rosalia",,https://d-nb.info/gnd/11704718X
wr-person-0016,"Janitschek, Maria",1859-07-23,https://d-nb.info/gnd/117078719
wr-person-0303,"Jellinek, A. L.",,
wr-person-0153,"Johnsen, Peter Marcus Gjøe",1857,https://d-nb.info/gnd/1139669583
wr-person-0311,K. A.,,
wr-person-0109,"Karasek, Jiri",,https://d-nb.info/gnd/11924196X
wr-person-0294,"Kassner, Rudolf",1873-11-09,https://d-nb.info/gnd/118560492
wr-person-0310,"Key, Ellen",,https://d-nb.info/gnd/11893449X
wr-person-0232,"Khnopff, Fernand",1858-09-12,https://d-nb.info/gnd/118561871
wr-person-0212,"Kipling, Rudyard",1865-12-30,https://d-nb.info/gnd/118562290
wr-person-0243,"Klein, Rudolf",,
wr-person-0076,"Klossowski, Erich",1875-12-21,https://d-nb.info/gnd/116234903
wr-person-0277,"Kniepf, Albert",1853-02-23,https://d-nb.info/gnd/116254130
wr-person-0315,"Knoops, Th. v.",,https://d-nb.info/gnd/1157547559
wr-person-0046,"Kobor, Thomas",,https://d-nb.info/gnd/1057704768
wr-person-0219,"Kolb, Annette",1870-02-03,https://d-nb.info/gnd/118713698
wr-person-0098,"Korsakow, D.",,
wr-person-0087,"Kotanyi, E.",,https://d-nb.info/gnd/128006005
wr-person-0008,"Kraus, Karl",1874-04-28,https://d-nb.info/gnd/118566288
wr-person-0086,"Kromer, Heinrich Ernst",1866-09-26,https://d-nb.info/gnd/116553146
wr-person-0270,"Kuhlenbeck, Ludwig",1857-04-25,https://d-nb.info/gnd/116601000
wr-person-0275,"Kuhlenbeck, Ludwig, Dr.",,https://d-nb.info/gnd/116601000
wr-person-0081,"Kürnberger, Ferdinand",1823-07-03,https://d-nb.info/gnd/118567764
wr-person-0050,"Lagerlöf, Selma",1858-11-20,https://d-nb.info/gnd/118726005
wr-person-0103,"Lassen, Helene",,
wr-person-0224,"Laßwitz, Kurd",1848-04-20,https://d-nb.info/gnd/118569961
wr-person-0055,"Leblanc, Maurice",,https://d-nb.info/gnd/118779125
wr-person-0229,"Lechter, Melchior",1865-10-02,https://d-nb.info/gnd/118726935
wr-person-0280,"Lemonnier, Camille",1844-03-24,https://d-nb.info/gnd/118779389
wr-person-0227,"Levertin, Oscar",1862-07-17,https://d-nb.info/gnd/119222760
wr-person-0062,"Levetzow, Karl Michael von",1871-04-10,https://d-nb.info/gnd/116961961
wr-person-0179,"Levetzow, Karl Michael von",1871-04-10,https://d-nb.info/gnd/116961961
wr-person-0053,"Lie, Jonas",,
wr-person-0206,"Lindner, Anton",,
wr-person-0100,"Linsemann, Paul",1871-02-26,https://d-nb.info/gnd/117036609
wr-person-0196,"Loos, Adolf",,https://d-nb.info/gnd/11857423X
wr-person-0177,"Ludassy, J. v.",,https://d-nb.info/gnd/119319764
wr-person-0001,"Maeterlinck, Maurice",1862-08-29,https://d-nb.info/gnd/118576089
wr-person-0309,"Mallarmé, Stéphane",1842-03-18,https://d-nb.info/gnd/118576771
wr-person-0082,"Manheimer, Victor",1877-12-07,https://d-nb.info/gnd/119061015
wr-person-0187,"Mauclair, Camille",1872-12-29,https://d-nb.info/gnd/119454351
wr-person-0096,"Maurès, Lionel",,
wr-person-0253,"Mendès, Catulle",1841-05-22,https://d-nb.info/gnd/118783203
wr-person-0057,"Menkes, Hermann",1873-07-15,https://d-nb.info/gnd/116882239
wr-person-0075,"Messer, Max",,https://d-nb.info/gnd/116914130
wr-person-0185,"Meyer-Förster, Elsbeth",1870-01-05,https://d-nb.info/gnd/117004049
wr-person-0237,"Moeller van den Bruck, Arthur",1876-04-23,https://d-nb.info/gnd/118734423
wr-person-0266,"Monogrammist, W Sch",,https://d-nb.info/gnd/1046085301
wr-person-0054,"Montesquiou, Graf Robert von",,https://d-nb.info/gnd/118583689
wr-person-0285,"Moreau, Gustave",1826-04-06,https://d-nb.info/gnd/118583972
wr-person-0015,"Morgenstern, Christian",,https://d-nb.info/gnd/11881169X
wr-person-0257,"Mörner, Birger",,https://d-nb.info/gnd/117088501
wr-person-0032,"Morris, William",,https://d-nb.info/gnd/118584251
wr-person-0242,Multatuli,1820-03-02,https://d-nb.info/gnd/118679279
wr-person-0305,"Multatuli, Wahrheit",,https://d-nb.info/gnd/118679279
wr-person-0218,"Muther, Richard",,https://d-nb.info/gnd/119115387
wr-person-0070,"Nansen, Peter",1861-01-20,https://d-nb.info/gnd/116882670
wr-person-0058,"Necker, Moritz",1857-10-14,https://d-nb.info/gnd/116902965
wr-person-0297,Neera,1846,https://d-nb.info/gnd/118884654
wr-person-0090,"Neera, Tante",,
wr-person-0035,"Neumann, Alfred",,https://d-nb.info/gnd/120427354
wr-person-0171,"Nietzsche, Friedrich",1844-10-15,https://d-nb.info/gnd/118587943
wr-person-0108,"Obstfelder, Sigbjørn",1866,https://d-nb.info/gnd/118786660
wr-person-0202,"Oehler, August",,https://d-nb.info/gnd/1159042357
wr-person-0045,"Oestéren, Friedrich Werner van",1874-09-18,https://d-nb.info/gnd/117106860
wr-person-0025,"Panizza, Oskar",1853-11-12,https://d-nb.info/gnd/118739131
wr-person-0099,"Pastor, Willy",1867-09-22,https://d-nb.info/gnd/11605302X
wr-person-0042,"Peladan, Sar Josephin",,https://d-nb.info/gnd/118790188
wr-person-0088,"Perzynski, Friedrich",,https://d-nb.info/gnd/1244003514
wr-person-0251,"Pica, Vittorio",1862,https://d-nb.info/gnd/118855840
wr-person-0184,"Pilar, Ivo",1874-06-19,https://d-nb.info/gnd/11815608X
wr-person-0235,"Poe, Edgar Allan",1809-01-19,https://d-nb.info/gnd/11859527X
wr-person-0239,"Poestion, Josef",1853-06-07,https://d-nb.info/gnd/116249978
wr-person-0189,"Poppée, Dolphine",,https://pmb.acdh.oeaw.ac.at/entity/171246/
wr-person-0286,"Prantz, Heinrich",,
wr-person-0037,"Prel, Dr. Carl du",,
wr-person-0036,"Prévost, Marcel",1862-05-01,https://d-nb.info/gnd/11864176X
wr-person-0123,"Przerwa-Tetmajer, Kazimierz",1865-02-12,https://d-nb.info/gnd/12350175X
wr-person-0290,"Pudor, Heinrich",1865-08-29,https://d-nb.info/gnd/11630734X
wr-person-0209,"Puttkamer, Alberta von",1849-05-05,https://d-nb.info/gnd/116314184
wr-person-0181,R.,,
wr-person-0097,Rachilde,1860-02-11,https://d-nb.info/gnd/119100770
wr-person-0231,Rafael,,
wr-person-0005,"Rappaport, Felix",1874-11-17,https://d-nb.info/gnd/1046354299
wr-person-0013,"Reibrach, Jean",1853-10-16,https://d-nb.info/gnd/1052850162
wr-person-0026,"Reuter, Gabriele",,https://d-nb.info/gnd/118744712
wr-person-0041,"Rilke, Rainer Maria",1875-12-04,https://d-nb.info/gnd/118601024
wr-person-0114,"Rilke, Rainer Maria",1875-12-04,https://d-nb.info/gnd/118601024
wr-person-0111,"Robitsek, Vilma",,https://pmb.acdh.oeaw.ac.at/entity/23479/
wr-person-0225,"Rossetti, Dante Gabriel",,https://d-nb.info/gnd/118749900
wr-person-0178,"Rubinstein, Dr. Susanna",,https://d-nb.info/gnd/116669616
wr-person-0204,"Ruskin, John",1819-02-08,https://d-nb.info/gnd/118604279
wr-person-0296,"S., B.",,
wr-person-0031,"Saar, Ferdinand von",1833-09-30,https://d-nb.info/gnd/118604449
wr-person-0269,"Sachs, Otto",,https://d-nb.info/gnd/116740469
wr-person-0065,"Samain, Albert",1858,https://d-nb.info/gnd/118794299
wr-person-0072,"Schaeffer, Emil",,https://d-nb.info/gnd/117099589
wr-person-0216,"Schäfer, Wilhelm",,https://d-nb.info/gnd/118794868
wr-person-0009,"Schäffer, Emil",,https://d-nb.info/gnd/117099589
wr-person-0198,"Schaukal, Dr. Richard",,https://d-nb.info/gnd/118606662
wr-person-0012,"Schaukal, Richard von",1874-05-27,https://d-nb.info/gnd/118606662
wr-person-0007,"Schik, Friedrich",1857,https://d-nb.info/gnd/11726413X
wr-person-0190,"Schlaf, Johannes",1862-06-21,https://d-nb.info/gnd/118607871
wr-person-0220,"Schlesinger-Eckstein, Therese,Kaethe",,https://d-nb.info/gnd/101843305
wr-person-0106,"Schmidkunz, Dr. Hans",,https://d-nb.info/gnd/117213608
wr-person-0167,"Schmidt, Karl Eugen",,
wr-person-0158,"Schmitt, Dr. Eugen Heinrich",,https://d-nb.info/gnd/116799544
wr-person-0278,"Schmitt, Eugen Heinrich",,https://d-nb.info/gnd/116799544
wr-person-0027,"Schmitz, Oscar",,https://d-nb.info/gnd/119328267
wr-person-0071,"Schmitz, Oscar A. H.",1873-04-16,https://d-nb.info/gnd/119328267
wr-person-0104,"Schmitz, Oscar A. H.",1873-04-16,https://d-nb.info/gnd/119328267
wr-person-0119,"Schmitz, Oscar A. H.",1873-04-16,https://d-nb.info/gnd/119328267
wr-person-0182,"Schmujlow-Claassen, Ria",1868-10-12,https://d-nb.info/gnd/118609424
wr-person-0122,"Schoenaich, Gustav",,
wr-person-0272,"Schölermann, W.",,https://d-nb.info/gnd/116857358
wr-person-0173,"Schölermann, Wilh.",,https://d-nb.info/gnd/116857358
wr-person-0161,"Schölermann, Wilhelm",,https://d-nb.info/gnd/116857358
wr-person-0129,"Scholz, Wilhelm von",,https://d-nb.info/gnd/118610392
wr-person-0207,"Schwaiger, Hans",,
wr-person-0245,"Segantini, Giovanni",1858-01-15,https://d-nb.info/gnd/118612700
wr-person-0284,"Seiling, Max, Prof.",,https://d-nb.info/gnd/117471372
wr-person-0024,"Servaes, Franz",,https://d-nb.info/gnd/117467979
wr-person-0150,"Smital, Anton",1863-02-09,https://d-nb.info/gnd/1049162188
wr-person-0302,"Sokal, Eduard",,https://d-nb.info/gnd/1151405132
wr-person-0105,"Soulier, Gaston",,
wr-person-0188,"Spaun, Paul Ritter von",,
wr-person-0139,"Spohr, Wilhelm",,
wr-person-0268,"Spreti, Adolf Graf von",,
wr-person-0010,"Ssologub, Fjodor",,https://d-nb.info/gnd/118615378
wr-person-0132,"Steinbach, Josef",,
wr-person-0052,"Stern, Maurice Reinhold von",1860-04-03,https://d-nb.info/gnd/117276871
wr-person-0033,"Stiglitz, Dr. Maximilian",,
wr-person-0137,"Stirner, Max",1806-10-25,https://d-nb.info/gnd/118618261
wr-person-0014,"Strauss, Rudolf",,
wr-person-0175,"Strindberg, August",1849-01-22,https://d-nb.info/gnd/118619314
wr-person-0130,"Strindberg, Frieda",,
wr-person-0228,"Swinburne, Algernon Charles",1837-04-05,https://d-nb.info/gnd/118620207
wr-person-0051,"Szczepanski, Ludwig",,
wr-person-0002,"Tchechow, Anton",1860-01-17,https://d-nb.info/gnd/118638289
wr-person-0304,Th.,,
wr-person-0244,"Thomassin, Carl von",,
wr-person-0162,"Thomassin, Ch. v..",,
wr-person-0301,"Tolstoi, Leo",,https://d-nb.info/gnd/11864291X
wr-person-0238,"Tolstoi, Leo Graf",,https://d-nb.info/gnd/11864291X
wr-person-0281,"Toorop, Jan",1858,https://d-nb.info/gnd/119295954
wr-person-0291,"Topelius, Zacharias",1818-01-14,https://d-nb.info/gnd/119241269
wr-person-0248,"Torchi, Ludwig",,
wr-person-0064,"Tschechoff, Anton",,https://d-nb.info/gnd/118638289
wr-person-0135,"Tschechow, Anton",,https://d-nb.info/gnd/118638289
wr-person-0156,"Ubell, Hermann",1876-03-03,https://d-nb.info/gnd/117249238
wr-person-0192,"Uddgren, Gustaf",1865-02-21,https://d-nb.info/gnd/115900191X
wr-person-0124,"Unger, Franz",,
wr-person-0300,"Vallotton, Félix",1865-12-28,https://d-nb.info/gnd/118626043
wr-person-0214,"Vancsa, Max",1866,https://d-nb.info/gnd/117344842
wr-person-0107,"Veber, Pierre",,https://d-nb.info/gnd/121502244
wr-person-0039,"Véber, Pierre",1869-05-15,https://d-nb.info/gnd/121502244
wr-person-0255,"Velde, Henry van de",1863-04-03,https://d-nb.info/gnd/118626442
wr-person-0063,"Verhaeren, Emile",1855-05-21,https://d-nb.info/gnd/118768085
wr-person-0006,"Verlaine, Paul",1844-03-30,https://d-nb.info/gnd/118804219
wr-person-0317,"Vick, Carl",1851-12-10,https://d-nb.info/gnd/107777205X
wr-person-0110,"Vogüé, Melchior de",1829-10-18,https://d-nb.info/gnd/117468606
wr-person-0152,"Vom Walde, Philo",1858-08-05,https://d-nb.info/gnd/1321845332
wr-person-0259,"Wachtelborn, Carl",,
wr-person-0236,"Walser, Robert",,https://d-nb.info/gnd/118628860
wr-person-0095,"Wassermann, Jakob",,
wr-person-0029,"Weisengrün, Dr. Paul",,https://d-nb.info/gnd/1057673374
wr-person-0273,"Wenban, Sion L.",,
wr-person-0134,"Wengraf, Richard",,https://d-nb.info/gnd/126283451
wr-person-0241,"Werner, Prof. Dr. Richard Maria",,
wr-person-0083,"Whitman, Walt",,https://d-nb.info/gnd/118807153
wr-person-0246,"Wickström, Victor Hugo",1856-05-29,https://d-nb.info/gnd/127987800
wr-person-0170,Wiener Rundschau,,
wr-person-0068,"Wilde, Oscar",1854-10-16,https://d-nb.info/gnd/118632779
wr-person-0028,"Wilhelm, Paul",,https://d-nb.info/gnd/116259604
wr-person-0138,"Wille, Bruno",1860-02-06,https://d-nb.info/gnd/11863318X
wr-person-0144,"Wolff, Ludwig",,
wr-person-0279,"Ysaey, L.",,
wr-person-0115,"Zenker, Ernst Viktor",1865,https://d-nb.info/gnd/116979798
wr-person-0080,"Zerboglio, Prof. Adolfo",,
wr-person-0213,"Zilcken, Philippe",1857-04-21,https://d-nb.info/gnd/1018256768
wr-person-0230,"Zillmann, Helene",1867,https://d-nb.info/gnd/117724653
wr-person-0195,"Zuckerkandl, B.",,https://d-nb.info/gnd/118758160
